dim,pop,budget,seed_base,run,algo,best_fitness,is_feasible,penalty,PSRR_DB
7,40,2500,42,1,FA,-110.93372852364996,1,0,110.93372852364996
7,40,2500,42,1,PSO,-107.39182476674607,1,0,107.39182476674607
7,40,2500,42,1,GA,-111.1440551170986,1,0,111.1440551170986
7,40,2500,42,1,ACO,-111.14643482398968,1,0,111.14643482398968
7,40,2500,42,2,ABC,-111.74266024048012,1,0,111.74266024048012
7,40,2500,42,2,GWO,-105.59658579910418,1,0,105.59658579910418
7,40,2500,42,2,FA,-111.42351680286072,1,0,111.42351680286072
7,40,2500,42,2,PSO,-111.75407612655974,1,0,111.75407612655974
7,40,2500,42,2,GA,-111.70528608987429,1,0,111.70528608987429
7,40,2500,42,2,ACO,-111.67741349698048,1,0,111.67741349698048
7,40,2500,42,3,ABC,-108.33391285413074,1,0,108.33391285413074
7,40,2500,42,3,GWO,-105.39647232641222,1,0,105.39647232641222
7,40,2500,42,3,FA,-107.7309915718821,1,0,107.7309915718821
7,40,2500,42,3,PSO,889.7412940462001,0,1,110.25870595379988
7,40,2500,42,3,GA,889.665821221773,0,1,110.3341787782271
7,40,2500,42,3,ACO,-98.68991202601987,1,0,98.68991202601987
7,40,2500,42,4,ABC,-114.79410532070092,1,0,114.79410532070092
7,40,2500,42,4,GWO,882.6104929107297,0,1,117.3895070892703
7,40,2500,42,4,FA,-114.40938245370293,1,0,114.40938245370293
7,40,2500,42,4,PSO,882.4782936504904,0,1,117.5217063495096
7,40,2500,42,4,GA,882.513007360696,0,1,117.486992639304
7,40,2500,42,4,ACO,-110.85228317952146,1,0,110.85228317952146
7,40,2500,42,5,ABC,-110.8400773960188,1,0,110.8400773960188
7,40,2500,42,5,GWO,-110.81838529349314,1,0,110.81838529349314
7,40,2500,42,5,FA,-110.51245761445652,1,0,110.51245761445652
7,40,2500,42,5,PSO,-110.91180928331775,1,0,110.91180928331775
7,40,2500,42,5,GA,-110.89761865048452,1,0,110.89761865048452
7,40,2500,42,5,ACO,-109.89199229312504,1,0,109.89199229312504
7,40,2500,42,6,ABC,-111.97850509281642,1,0,111.97850509281642
7,40,2500,42,6,GWO,-111.83543544395431,1,0,111.83543544395431
7,40,2500,42,6,FA,-95.72001784791307,1,0,95.72001784791307
7,40,2500,42,6,PSO,-112.0097469277888,1,0,112.0097469277888
7,40,2500,42,6,GA,-112.00976860263728,1,0,112.00976860263728
7,40,2500,42,6,ACO,-112.00960834009642,1,0,112.00960834009642
7,40,2500,42,7,ABC,-104.59757855865766,1,0,104.59757855865766
7,40,2500,42,7,GWO,-103.67510934729093,1,0,103.67510934729093
7,40,2500,42,7,FA,-101.69771675399771,1,0,101.69771675399771
7,40,2500,42,7,PSO,-104.60788876340739,1,0,104.60788876340739
7,40,2500,42,7,GA,-99.23838683189614,1,0,99.23838683189614
7,40,2500,42,7,ACO,-103.11124633131979,1,0,103.11124633131979
7,40,2500,42,8,ABC,-101.56096071232818,1,0,101.56096071232818
7,40,2500,42,8,GWO,-96.7514572812796,1,0,96.7514572812796
7,40,2500,42,8,FA,895.8671635246719,0,1,104.13283647532802
7,40,2500,42,8,PSO,-101.89241439891616,1,0,101.89241439891616
7,40,2500,42,8,GA,1893.0134290947653,0,2,106.98657090523456
7,40,2500,42,8,ACO,-101.88457618355429,1,0,101.88457618355429
7,40,2500,42,9,ABC,-106.23991035557403,1,0,106.23991035557403
7,40,2500,42,9,GWO,-106.10785212050853,1,0,106.10785212050853
7,40,2500,42,9,FA,-105.91489118425274,1,0,105.91489118425274
7,40,2500,42,9,PSO,-105.60866528410733,1,0,105.60866528410733
7,40,2500,42,9,GA,-106.1609725991631,1,0,106.1609725991631
7,40,2500,42,9,ACO,-106.03747314719652,1,0,106.03747314719652
7,40,2500,42,10,ABC,-104.46769793346496,1,0,104.46769793346496
7,40,2500,42,10,GWO,-97.54013756065062,1,0,97.54013756065062
7,40,2500,42,10,FA,-103.97752884048832,1,0,103.97752884048832
7,40,2500,42,10,PSO,-104.42942531028899,1,0,104.42942531028899
7,40,2500,42,10,GA,-95.17853501420936,1,0,95.17853501420936
7,40,2500,42,10,ACO,-97.5895593709188,1,0,97.5895593709188
7,40,2500,42,11,ABC,-113.69799091490725,1,0,113.69799091490725
