experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D16,16,24,24042,GA,1906.5756603823936,93.4243396176063,2,0,51.21536469995044
dim,D16,16,24,24042,ACO,903.6618403781076,96.3381596218925,1,0,40.32705139997415
dim,D16,16,25,25042,ABC,-99.65571722791792,99.65571722791792,0,1,19.484097099979408
dim,D16,16,25,25042,GWO,903.6641698964032,96.33583010359683,1,0,16.102030299953185
dim,D16,16,25,25042,FA,906.0364937757602,93.9635062242398,1,0,47.48579459998291
dim,D16,16,25,25042,PSO,893.3748728824422,106.6251271175578,1,0,20.130053100001533
dim,D16,16,25,25042,GA,892.85369846684,107.14630153315996,1,0,46.071855499991216
dim,D16,16,25,25042,ACO,903.6586936001582,96.34130639984171,1,0,45.71767499996349
dim,D16,16,26,26042,ABC,-107.60659429319604,107.60659429319604,0,1,19.34635619999608
dim,D16,16,26,26042,GWO,898.1729832799012,101.82701672009874,1,0,16.16944460000377
dim,D16,16,26,26042,FA,898.1729832799012,101.82701672009874,1,0,138.6391641999944
dim,D16,16,26,26042,PSO,-105.31381107998207,105.31381107998207,0,1,18.96357949997764
dim,D16,16,26,26042,GA,-106.5558130070104,106.5558130070104,0,1,45.23258430004353
dim,D16,16,26,26042,ACO,898.1729832799012,101.82701672009874,1,0,38.823782599996775
dim,D16,16,27,27042,ABC,-108.65123895521216,108.65123895521216,0,1,19.985367399989627
dim,D16,16,27,27042,GWO,892.1843982939382,107.81560170606176,1,0,16.818337599979714
dim,D16,16,27,27042,FA,892.1843982939382,107.81560170606176,1,0,169.15201459999662
dim,D16,16,27,27042,PSO,889.1639312055682,110.83606879443172,1,0,21.08657069999026
dim,D16,16,27,27042,GA,889.1648157131092,110.8351842868908,1,0,39.40853820001939
dim,D16,16,27,27042,ACO,-93.7206512455241,93.7206512455241,0,1,42.85667559999274
dim,D16,16,28,28042,ABC,-116.21927138675656,116.21927138675656,0,1,19.23921669996344
dim,D16,16,28,28042,GWO,891.2799822663238,108.72001773367616,1,0,21.55108519998612
dim,D16,16,28,28042,FA,-115.59540795354545,115.59540795354545,0,1,93.06593340000836
dim,D16,16,28,28042,PSO,-115.86518057807808,115.86518057807808,0,1,20.974366799986456
dim,D16,16,28,28042,GA,-116.22998084414117,116.22998084414117,0,1,43.9357523000217
dim,D16,16,28,28042,ACO,-116.27816944363455,116.27816944363455,0,1,38.64345619996311
dim,D16,16,29,29042,ABC,-95.58472609550545,95.58472609550545,0,1,19.33565720001934
dim,D16,16,29,29042,GWO,903.8913899451562,96.1086100548438,1,0,22.70404119999148
dim,D16,16,29,29042,FA,908.004273534853,91.99572646514692,1,0,92.2325467999908
dim,D16,16,29,29042,PSO,905.4858157834008,94.51418421659918,1,0,19.776317200041376
dim,D16,16,29,29042,GA,-95.69639160876557,95.69639160876557,0,1,43.967182099993806
dim,D16,16,29,29042,ACO,903.6589706315402,96.34102936845971,1,0,37.85462240001653
dim,D7,7,0,42,ABC,-99.62089080827452,99.62089080827452,0,1,18.382791100011676
dim,D7,7,0,42,GWO,903.4851770315298,96.51482296847024,1,0,15.47621380002238
dim,D7,7,0,42,FA,901.3657838113808,98.6342161886192,1,0,37.1989356999984
dim,D7,7,0,42,PSO,-99.62382617694144,99.62382617694144,0,1,9.759814799996091
dim,D7,7,0,42,GA,-94.22174327669778,94.22174327669778,0,1,19.713382499990985
dim,D7,7,0,42,ACO,-94.2339229387522,94.2339229387522,0,1,18.08342299994547
dim,D7,7,1,1042,ABC,-111.15467741986768,111.15467741986768,0,1,18.76516609999817
dim,D7,7,1,1042,GWO,-111.1403103501005,111.1403103501005,0,1,15.453589399985503
dim,D7,7,1,1042,FA,-111.14287831096708,111.14287831096708,0,1,38.440745200030506
dim,D7,7,1,1042,PSO,-107.3996232971999,107.3996232971999,0,1,9.991755600029135
dim,D7,7,1,1042,GA,-111.15461658174098,111.15461658174098,0,1,20.42583280004328
dim,D7,7,1,1042,ACO,-111.15467741986764,111.15467741986764,0,1,18.441910499997903
dim,D7,7,2,2042,ABC,-111.75731730824114,111.75731730824114,0,1,18.52991690003546
