lambda,case,run,algo,best_fitness,PSRR_DB,penalty,is_feasible,runtime_sec
10.0,base,19,PSO,-104.91377937228181,104.91377937228181,0,1,2.253757999977097
10.0,base,19,GA,-105.07242857054503,105.07242857054503,0,1,4.431730700016487
10.0,base,19,ACO,-86.3386400168556,96.3386400168556,1,0,4.050733099982608
10.0,base,20,ABC,-110.08122624439123,110.08122624439123,0,1,3.9560055999900214
10.0,base,20,GWO,-101.5651613329177,101.5651613329177,0,1,3.5158649999648333
10.0,base,20,FA,-109.28407599652068,109.28407599652068,0,1,8.92907109996304
10.0,base,20,PSO,-110.09416056907145,110.09416056907145,0,1,2.214518099965062
10.0,base,20,GA,-110.5875841857734,110.5875841857734,0,1,4.415246199991088
10.0,base,20,ACO,-110.09599700846026,110.09599700846026,0,1,4.007254500000272
10.0,base,21,ABC,-107.41482123983045,107.41482123983045,0,1,3.9932643999927677
10.0,base,21,GWO,-86.37799147243305,96.37799147243305,1,0,3.490195699967444
10.0,base,21,FA,-107.36201247421522,107.36201247421522,0,1,9.059271799982525
10.0,base,21,PSO,-107.4595652081213,107.4595652081213,0,1,2.233508500037715
10.0,base,21,GA,-107.4527664632536,107.4527664632536,0,1,4.51294660003623
